square shift mask magic
0 52 0x101010101017E 0x880048850C00000
1 53 0x202020202027C 0x4840002000100000
2 53 0x404040404047A 0xD80181000200004
3 53 0x8080808080876 0xC50003100220000
4 53 0x1010101010106E 0xD00060800043000
5 53 0x2020202020205E 0x841004010802000
6 53 0x4040404040403E 0x880234000860000
7 52 0x8080808080807E 0x4840004002B08000
8 53 0x1010101017E00 0x944C000C6200010
9 54 0x2020202027C00 0x4C08C02001401000
10 54 0x4040404047A00 0x4840805080220000
11 54 0x8080808087600 0x800800800100000
12 54 0x10101010106E00 0xA00800C01088000
13 54 0x20202020205E00 0x802404412040000
14 54 0x40404040403E00 0x801000426410000
15 53 0x80808080807E00 0xB800400082412000
16 53 0x10101017E0100 0x80000C000440020
17 54 0x20202027C0200 0x9000010200A0000
18 54 0x40404047A0400 0x900810030402000
19 54 0x8080808760800 0x28A004000C692001
20 54 0x101010106E1000 0x8020080242A0000
21 54 0x202020205E2000 0x908010008036000
22 54 0x404040403E4000 0x8040020204A1400
23 53 0x808080807E8000 0x900002280410000
24 53 0x101017E010100 0x80003840C020000
25 54 0x202027C020200 0x804024110400008
26 54 0x404047A040400 0x1800002101008000
27 54 0x8080876080800 0x800000B00201000
28 54 0x1010106E101000 0x800042080080002
29 54 0x2020205E202000 0x280000C900440000
30 54 0x4040403E404000 0x1944008202004800
31 53 0x8080807E808000 0x4902011180084000
32 53 0x1017E01010100 0x834A04000800004
33 54 0x2027C02020200 0x800084100C00000
34 54 0x4047A04040400 0x1A01201200280000
35 54 0x8087608080800 0x800002201500001
36 54 0x10106E10101000 0x850100404002001
37 54 0x20205E20202000 0x900001014200800
38 54 0x40403E40404000 0x840000A41000800
39 53 0x80807E80808000 0x802000204910800
40 53 0x17E0101010100 0x184C810041240010
41 54 0x27C0202020200 0x4E0001814001000C
42 54 0x47A0404040400 0x900240010004004
43 54 0x8760808080800 0x1800002009086004
44 54 0x106E1010101000 0x2840008023206000
45 54 0x205E2020202000 0x81D1208A4001000
46 54 0x403E4040404000 0x80803010308C000
47 53 0x807E8080808000 0x8800001280021800
48 53 0x7E010101010100 0xC8A0800900482100
49 54 0x7C020202020200 0x880104024084020
50 54 0x7A040404040400 0x4C80080030408240
51 54 0x76080808080800 0x8008012A4004400
52 54 0x6E101010101000 0x1810000442004040
53 54 0x5E202020202000 0x800011014305800
54 54 0x3E404040404000 0x8A00000600040180
55 53 0x7E808080808000 0x840000480450034
56 52 0x7E01010101010100 0x80823042200488C
57 53 0x7C02020202020200 0x850820100402834
58 53 0x7A04040404040400 0x909008040240812
59 53 0x7608080808080800 0x80000C58014030C
60 53 0x6E10101010101000 0x8882401006202804
61 53 0x5E20202020202000 0x810002804051008
62 53 0x3E40404040404000 0x1800000104086082
63 52 0x7E80808080808000 0xC84000680620441
