square shift mask magic
0 58 0x40201008040200 0x862421003020000
1 59 0x402010080400 0x1802058822000010
2 59 0x4020100A00 0xA010A040000C0B0
3 59 0x40221400 0x91C004000204000
4 59 0x2442800 0x8804500001018164
5 59 0x204085000 0xA04020640000020
6 59 0x20408102000 0x4801084804820070
7 58 0x2040810204000 0x808112901040020
8 59 0x20100804020000 0x2A2034120C234000
9 59 0x40201008040000 0xA010C0969140008
10 59 0x4020100A0000 0x900100940440080
11 59 0x4022140000 0xB90060080000003
12 59 0x244280000 0x98004A6400028400
13 59 0x20408500000 0x900208D04800800
14 59 0x2040810200000 0x808420861060000
15 59 0x4081020400000 0xC000E0645048040
16 59 0x10080402000200 0xA00801528081000
17 59 0x20100804000400 0x800040410049000
18 57 0x4020100A000A00 0xA20108A00801400
19 57 0x402214001400 0x28000D5410240590
20 57 0x24428002800 0x4C00806110000040
21 57 0x2040850005000 0xC20000884A08408
22 59 0x4081020002000 0x888100304020008
23 59 0x8102040004000 0x800041346420020
24 59 0x8040200020400 0x2D42100048200000
25 59 0x10080400040800 0x2840210004048004
26 57 0x20100A000A1000 0x8820444480440004
27 55 0x40221400142200 0x940004242024000
28 55 0x2442800284400 0x8900002201100000
29 57 0x4085000500800 0x8800008001300100
30 59 0x8102000201000 0x8200900040C0002
31 59 0x10204000402000 0x4800002000420A01
32 59 0x4020002040800 0x48000A3004212000
33 59 0x8040004081000 0xE40108440120003
34 57 0x100A000A102000 0x880030300408004
35 55 0x22140014224000 0xC08004811040000
36 55 0x44280028440200 0x844204010010000
37 57 0x8500050080400 0x801042400202000
38 59 0x10200020100800 0x8C000800B000E240
39 59 0x20400040201000 0x4800004041248201
40 59 0x2000204081000 0xC880288540220011
41 59 0x4000408102000 0xC00010120808020
42 57 0xA000A10204000 0x800004120400000
43 57 0x14001422400000 0x8E48000010988010
44 57 0x28002844020000 0x830010228226000
45 57 0x50005008040200 0x8800101048008048
46 59 0x20002010080400 0xA800882800401081
47 59 0x40004020100800 0xC02E40042000800
48 59 0x20408102000 0x800040A08044082
49 59 0x40810204000 0x801040147184200
50 59 0xA1020400000 0x880001080910000
51 59 0x142240000000 0x3A10105801848400
52 59 0x284402000000 0x821018110440800
53 59 0x500804020000 0xA18142044444120
54 59 0x201008040200 0x80003062600840E
55 59 0x402010080400 0x8400802246021C8
56 58 0x2040810204000 0x5800008802C2E904
57 59 0x4081020400000 0xC00000048539000
58 59 0xA102040000000 0xC904021001038200
59 59 0x14224000000000 0x8E0000500042480
60 59 0x28440200000000 0x4800010002100480
61 59 0x50080402000000 0x804108004084082
62 59 0x20100804020000 0x810001044310401
63 58 0x40201008040200 0x980220210448480
