square shift mask magic
0 46 0x4121110905037E 0x801000080090000
1 48 0x24222120A067C 0xA04001201140000
2 48 0x4044424140E7A 0x810200400020000
3 48 0x80808482A1C76 0xC01000400002001
4 48 0x1010101254386E 0xA08880000302000
5 48 0x2020222428705E 0x800006000401082
6 48 0x4042444850603E 0x7882000010008000
7 46 0x82848890A0C07E 0x82C004210008000
8 48 0x21110905037E00 0x88081000010A0800
9 49 0x4222120A067C00 0x810040001020000
10 49 0x44424140E7A00 0xC00009800700000
11 49 0x808482A1C7600 0x2840020000880000
12 49 0x10101254386E00 0x1820800080002204
13 49 0x20222428705E00 0x1800040200130000
14 49 0x42444850603E00 0x805800280608000
15 48 0x848890A0C07E00 0x804088020010000
16 48 0x110905037E0300 0x814810200100000
17 49 0x22120A067C0600 0x1900000109008000
18 47 0x4424140E7A0E00 0x800000082A08000
19 47 0x8482A1C761C00 0xB000003C0004000
20 47 0x101254386E3800 0x4A20000040410000
21 47 0x222428705E7000 0x8100002200C0000
22 49 0x444850603E6000 0x80000D002010000
23 48 0x8890A0C07EC000 0x280100008300A000
24 48 0x905037E030500 0x1900000428010000
25 49 0x120A067C060A00 0x800000130210000
26 47 0x24140E7A0E1400 0x800000040420000
27 45 0x482A1C761C2A00 0x800000008080020
28 45 0x1254386E385400 0x802220604080000
29 47 0x2428705E702800 0x800000008740000
30 49 0x4850603E605000 0x800000601008000
31 48 0x90A0C07EC0A000 0x18C000020808E000
32 48 0x5037E03050900 0x800005200700000
33 49 0xA067C060A1200 0x2800000B06180000
34 47 0x140E7A0E142400 0x6800001028010000
35 45 0x2A1C761C2A4800 0xA84230020080000
36 45 0x54386E38541200 0x908829420840000
37 47 0x28705E70282400 0x940000041088000
38 49 0x50603E60504800 0x800000041088020
39 48 0xA0C07EC0A09000 0x800000040090000
40 48 0x37E0305091100 0xA002220A0040000
41 49 0x67C060A122200 0x800001080208000
42 47 0xE7A0E14244400 0x8080000B1188000
43 47 0x1C761C2A480800 0x1802242014040000
44 47 0x386E3854121000 0x806900020020000
45 47 0x705E7028242200 0x2900002284080000
46 49 0x603E6050484400 0x8109000604C0000
47 48 0xC07EC0A0908800 0x880000180002800
48 48 0x7E030509112100 0x80000014A02B400
49 49 0x7C060A12224200 0x800000144100400
50 49 0x7A0E1424440400 0x800000100900400
51 49 0x761C2A48080800 0x1812808200012200
52 49 0x6E385412101000 0x4800001220020002
53 49 0x5E702824222000 0xC08000012028800
54 49 0x3E605048444200 0xC800000410220020
55 48 0x7EC0A090888400 0x81800002000B002
56 46 0x7E03050911214100 0xAF0000020088010C
57 48 0x7C060A1222420200 0x800000100400084
58 48 0x7A0E142444040400 0x8840000440110004
59 48 0x761C2A4808080800 0x8082100C2000022
60 48 0x6E38541210101000 0x800008020004004
61 48 0x5E70282422202000 0x6A00000040802404
62 48 0x3E60504844424000 0x2A00000008040045
63 46 0x7EC0A09088848200 0x880000012040022
